frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
35,1,[602.7282104492188 1603.3724365234375 1389.2955322265625 2151.81884765625],car,[762.0863037109375 2073.4169921875 1110.994873046875 2148.203125],0.2822800874710083,NA13NRU,0.07990895701006778
36,2,[2187.676513671875 1330.6328125 2902.36767578125 1977.130615234375],car,[2456.102783203125 1794.229248046875 2641.384033203125 1855.584228515625],0.8299834728240967,IEEV,0.09963508695363998
37,2,[2188.17919921875 1334.111572265625 2904.25830078125 1982.87158203125],car,[2455.685302734375 1796.8802490234375 2641.4521484375 1859.6510009765625],0.8354220390319824,CTBLEU,0.012547799675429676
38,2,[2187.795166015625 1341.0428466796875 2909.6982421875 1992.0712890625],car,[2458.669921875 1805.6920166015625 2645.344482421875 1866.1519775390625],0.8173147439956665,LOZW,0.00449306471273303
39,2,[2187.90625 1348.366943359375 2912.356201171875 2003.165283203125],car,[2461.2900390625 1819.718994140625 2649.7587890625 1879.418701171875],0.8043472170829773,MT,0.04867985659889766
40,2,[2188.06884765625 1351.0234375 2915.285888671875 2008.955078125],car,[2461.94482421875 1822.561279296875 2649.260009765625 1882.0888671875],0.831682026386261,NEUSW,0.16980729351093254
41,2,[2187.902587890625 1355.0106201171875 2920.9287109375 2018.35400390625],car,[2460.5732421875 1832.4251708984375 2654.9794921875 1891.39794921875],0.8159877061843872,LSISU,0.2680602995194893
42,2,[2188.551025390625 1361.95703125 2925.146728515625 2027.30615234375],car,[2464.237548828125 1839.1834716796875 2650.72119140625 1901.0438232421875],0.8256081938743591,MGW,0.1359568612368064
43,2,[2190.0126953125 1365.2479248046875 2928.142822265625 2033.251220703125],car,[2465.468505859375 1842.5328369140625 2652.719482421875 1904.2313232421875],0.8339649438858032,NBGU,0.0508325647107868
44,2,[2191.197265625 1370.907958984375 2932.73193359375 2042.39599609375],car,[2466.892333984375 1847.8905029296875 2661.7626953125 1913.7220458984375],0.8428111672401428,IESW,0.027965684795674222
45,2,[2191.54296875 1378.0384521484375 2936.376953125 2051.107666015625],car,[2470.362548828125 1867.241455078125 2662.95068359375 1924.865478515625],0.7924177050590515,ITSV,0.051428940147161484
46,2,[2192.2421875 1383.1103515625 2939.201904296875 2057.43994140625],car,[2473.247314453125 1869.9365234375 2664.345703125 1929.218017578125],0.847181499004364,LSTSV,0.04200365853917199
46,3,[1108.172607421875 1151.7197265625 1730.4337158203125 1621.8895263671875],car,[1328.2825927734375 1451.6651611328125 1502.8311767578125 1504.9306640625],0.35144132375717163,GXISGJ,0.4517417237737726
47,2,[2192.6650390625 1387.6644287109375 2940.230224609375 2066.10498046875],car,[2476.107177734375 1878.889892578125 2669.027099609375 1937.6319580078125],0.8262951374053955,DUSTV,0.011884002089193532
47,3,[1105.4339599609375 1155.373779296875 1729.8514404296875 1627.2005615234375],car,[1335.2384033203125 1458.332275390625 1503.06005859375 1513.1112060546875],0.7200821042060852,GX15OGJ,0.2675617295372519
48,2,[2193.99462890625 1396.016845703125 2945.00634765625 2075.62890625],car,[2469.14892578125 1887.78662109375 2672.71826171875 1949.6590576171875],0.8300942778587341,DESEV,0.10330573949381935
